Name,Position,Elevation,Categories
HET48,N33.36156¡ W118.37074¡,425 m,
CMEG52,N33.36150¡ W118.37071¡,426 m,
PRUN56,N33.36148¡ W118.37082¡,425 m,
HET49,N33.35914¡ W118.36231¡,396 m,
CERC40,N33.35508¡ W118.35491¡,427 m,
HET50,N33.35017¡ W118.36391¡,424 m,
CMEG53,N33.34958¡ W118.36596¡,415 m,
QPAC30,N33.34952¡ W118.36619¡,415 m,
CMEG54,N33.34952¡ W118.36614¡,415 m,
CMEG56,N33.34949¡ W118.36588¡,421 m,
CMEG55,N33.34946¡ W118.36616¡,418 m,
QPAC31,N33.34801¡ W118.36584¡,416 m,
CMEG58,N33.34797¡ W118.36636¡,400 m,
DEND39,N33.34797¡ W118.36605¡,409 m,
CMEG59,N33.34795¡ W118.36537¡,426 m,
DEND40,N33.34792¡ W118.36655¡,393 m,
DEND38,N33.34780¡ W118.36587¡,418 m,
CMEG57,N33.34780¡ W118.36562¡,426 m,
