id,emergence_weight,Size.PC1,Shape.PC1,wing.loading,thorax,abdomen,dry.mass
421.1,0.7829,1.73613725,-3.360428463,0.083509333,0.0914,0.1049,0.1963
421.2,0.721,1.458035383,0.625554208,0.078395129,NA,NA,NA
421.3,0.7211,1.934173044,-0.641912498,0.076238304,0.092,0.0945,0.1865
424.1,0.2871,-2.759106052,-0.284969385,0.041407658,0.0493,0.0499,0.0992
425.1,0.5639,-1.218639427,0.975749606,0.072676891,0.0618,0.0801,0.1419
425.2,0.5216,-1.858551845,1.364788949,0.070648788,0.0593,0.0682,0.1275
426.2,0.8245,3.925703061,-0.338675654,0.076448771,0.0939,0.1157,0.2096
427.1,0.4924,-1.871840012,1.318944438,0.067043366,0.0578,0.0705,0.1283
428.1,0.5254,-0.432009357,-1.205607321,0.064131828,0.0709,0.0701,0.141
428.2,0.6984,-0.668030188,-0.544413346,0.087392855,NA,NA,NA
428.3,0.6449,0.137269664,-0.211321559,0.076664289,0.0664,0.101,0.1674
432.1,0.7317,2.094660755,0.284984278,0.075577132,0.0898,0.0943,0.1841
432.2,0.5892,0.229485034,-0.977832273,0.069653623,0.0701,0.081,0.1511
433.1,0.6579,2.354592579,0.552599704,0.067053967,0.0766,0.0825,0.1591
433.2,0.713,3.400803885,-1.83367792,0.067708086,0.094,0.1011,0.1951
434.1,0.5557,0.140946315,-1.153737978,0.065565453,0.0687,0.0662,0.1349
436.1,0.5184,-1.005959493,-0.563353045,0.065786802,0.0674,0.0638,0.1312
436.2,0.6033,0.522624643,-1.069318786,0.068976162,0.0812,0.0847,0.1659
436.3,0.6947,1.318218116,1.285574508,0.075667139,0.0822,0.1074,0.1896
436.4,0.5543,-0.002058572,-2.114589522,0.065485262,0.0709,0.0819,0.1528
437.2,0.6343,0.789970582,-0.157209322,0.072214948,0.0765,0.0757,0.1522
437.3,0.5955,0.21656512,1.225080398,0.07084647,NA,NA,NA
439.1,0.6654,1.426030155,-1.3706429,0.071548387,0.0831,0.094,0.1771
439.2,0.6332,1.610724054,-1.964190872,0.067272244,0.0798,0.0864,0.1662
440.1,0.535,-0.563334855,1.36253476,0.065644172,0.0665,0.0836,0.1501
441.1,0.584,0.445899638,-1.419388708,0.067506647,0.0737,0.0786,0.1523
442.1,0.7297,0.95866506,-0.182384683,0.081695029,0.0819,0.1251,0.207
444.1,0.6058,0.162194533,2.075452606,0.071438679,0.0727,0.0872,0.1599
444.2,0.5807,-0.495476142,1.724067037,0.070933855,0.0682,0.0758,0.144
444.3,0.4767,-0.817289271,0.727890979,0.060664291,0.0625,0.0641,0.1266
445.1,0.5459,-0.280342868,0.926191549,0.066225889,0.0664,0.0805,0.1469
445.2,0.5024,-0.694798511,1.407923054,0.06253423,0.0687,0.0743,0.143
447.1,0.6865,-0.76570888,1.351607461,0.085614516,0.0738,0.1125,0.1863
447.2,0.4877,-3.975975864,1.33724173,0.078332798,0.0538,0.0738,0.1276
449.1,0.4369,-2.001769111,-1.149309011,0.059976663,0.0543,0.0456,0.0999
449.2,0.4929,-1.25144355,0.472125882,0.063273427,0.0611,0.056,0.1171
452.2,0.5464,-3.340855491,1.059021871,0.08150358,0.0657,0.0632,0.1289
453.1,0.6983,2.605848135,-0.719951966,0.070152702,0.0922,0.0946,0.1868
453.2,0.6554,2.451074139,-0.773899676,0.066670057,0.086,0.0832,0.1692
500.1,0.5741,-0.002368958,-0.887423837,0.068729798,0.0648,0.0674,0.1322
500.2,0.5514,-1.063841849,-0.243036055,0.069947989,0.0637,0.0628,0.1265
501.1,0.4835,-1.047669227,0.309344726,0.062274601,0.0568,0.0501,0.1069
501.2,0.4542,-2.210460865,0.485757154,0.063241437,0.0579,0.0474,0.1053
504.1,0.5983,1.563094314,0.276778911,0.064884503,0.0819,0.0584,0.1403
504.2,0.5474,0.996190145,0.090463682,0.060876335,0.067,0.064,0.131
505.1,0.5864,0.938002194,-0.861254688,0.065721491,0.0651,0.0798,0.1449
508.1,0.6044,0.538452921,-0.877584166,0.069157274,0.0785,0.0746,0.1531
509.1,0.4736,-1.261780436,0.266507303,0.061614519,0.0582,0.0566,0.1148
509.2,0.5047,-1.051946845,0.391641166,0.064688541,NA,NA,NA
511.3,0.5083,-0.818600995,-0.312753009,0.063533529,0.0614,0.0716,0.133
513.1,0.5467,0.376594666,1.276983113,0.064208116,0.0725,0.0644,0.1369
514.1,0.3769,-3.396103057,0.70573708,0.057205737,0.0367,0.0406,0.0773
514.2,0.5485,-0.88025152,-0.720325507,0.069814803,0.0626,0.0649,0.1275
519.1,0.5497,-0.9109652,0.216428227,0.069310301,0.0673,0.0724,0.1397
522.1,0.7287,3.139207939,-1.114607797,0.070596784,0.0843,0.0956,0.1799
522.2,0.5916,0.848099903,-0.938972671,0.066367512,0.07,0.0744,0.1444
523.1,0.6453,1.647017359,-0.518694686,0.068791642,0.0815,0.0776,0.1591
523.2,0.6319,0.429588534,-1.451574322,0.072673951,0.085,0.0819,0.1669
526.1,0.5006,-0.46547501,-0.217692673,0.061692033,0.069,0.0642,0.1332
527.1,0.5547,-0.231455995,0.306678377,0.067420237,0.0709,0.0759,0.1468
527.2,0.6661,1.321050606,0.860575392,0.073338838,0.0859,0.0885,0.1744
529.1,0.573,-0.085772284,-0.050205691,0.069644485,0.0699,0.0771,0.147
529.2,0.4888,-1.441567502,1.976492991,0.064493997,NA,NA,NA
531.2,0.4836,0.066893585,0.339238305,0.05734274,0.0621,0.0569,0.119
531.3,0.5403,0.293955501,-1.045011177,0.063568445,0.0685,0.0711,0.1396
532.1,0.6384,2.107723377,1.07218132,0.066677111,0.0868,0.0755,0.1623
533.1,0.5939,1.008523622,-0.317293997,0.066110091,0.0776,0.0801,0.1577
533.2,0.5734,0.143594879,-0.349283461,0.067154652,0.0729,0.0725,0.1454
533.3,0.6999,1.142921355,-0.429197737,0.076895188,0.0758,0.0737,0.1495
534.1,0.5711,0.308055426,-0.029096865,0.067227781,0.0696,0.0786,0.1482
534.2,0.6448,0.768887672,-0.394466887,0.073185404,0.0777,0.0996,0.1773
534.3,0.5778,0.06803206,0.234699303,0.068773433,0.0719,0.079,0.1509
535.1,0.6493,0.472001093,0.973391071,0.075316089,0.0726,0.0863,0.1589
535.2,0.6648,1.506255738,-0.204106964,0.071928591,NA,NA,NA
536.1,0.6713,1.213571911,-0.953292947,0.073595352,0.0687,0.0674,0.1361
536.2,0.7081,2.910224609,-0.774477818,0.069808252,0.0858,0.094,0.1798
537.2,0.7867,2.123883086,-1.430381646,0.08114492,0.0862,0.0908,0.177
537.3,0.6575,3.074043403,0.011943704,0.064030774,NA,NA,NA
538.1,0.6695,-1.002554108,-0.521459549,0.085685032,0.069,0.0769,0.1459
538.2,0.714,0.606154256,2.54687182,0.082324455,0.085,0.0847,0.1697
538.3,0.8311,1.930234971,0.447582408,0.086245006,0.096,0.0916,0.1876
540.1,0.4883,-0.211944762,0.171500881,0.05860186,0.0595,0.0693,0.1288
542.2,0.6395,1.454054047,-0.881731182,0.068340903,NA,NA,NA
544.1,0.6962,2.232285101,-0.764940737,0.071138814,0.0823,0.0863,0.1686
544.2,0.788,2.899253179,-0.777876678,0.077689047,0.0945,0.1041,0.1986
546.1,0.4904,-0.350670954,0.537863796,0.059594118,0.0592,0.0628,0.122
