SampleID,Source,Site,Species,PlantID,Age,Tissue_Mass,Dilution1,Dilution2,Absorbance,Sample Concentration,Tissue Concentration,Notes
31,Santa Cruz,Santa Cruz,Heteromeles,23,old,49.6,30,10,0.064,0.011798875,0.071364161,
32,Santa Cruz,Santa Cruz,Heteromeles,23,young,44.9,30,10,0.099,0.075331276,0.503327012,
33,Stunt Ranch,Stunt Ranch,Cercocarpus,8,young,65.2,30,1,0.065,0.013614086,0.00626415,
34,Gaviota,Gaviota,Prunus,60,old,31.2,30,10,0.31,0.458340897,4.407124007,
35,Gaviota,Gaviota,Prunus,60,young,33.8,30,10,0.311,0.460156108,4.084225812,
36,Santa Rosa,Santa Rosa,Heteromeles,18,old,77.7,30,10,0.13,0.131602832,0.508119041,
37,Santa Rosa,Santa Rosa,Heteromeles,18,young,58.9,30,10,0.209,0.275004538,1.400702231,
38,Santa Monicas,Santa Monicas,Heteromeles,42,old,69,30,10,0.246,0.342167362,1.487684185,
39,Santa Monicas,Santa Monicas,Heteromeles,42,young,54.7,30,10,0.259,0.365765112,2.006024378,
40,Stunt Ranch,Stunt Ranch,Prunus,5,old,41.9,30,10,0.229,0.311308767,2.228941056,
41,Santa Monicas,Santa Monicas,Heteromeles,36,old,51.4,30,10,0.182,0.225993828,1.319030126,
42,Santa Monicas,Santa Monicas,Heteromeles,36,young,55.5,30,10,0.178,0.218732982,1.182340445,
43,Stunt Ranch,Stunt Ranch,Heteromeles,4,old,64.4,30,10,0.092,0.062624796,NA,leaf tissue too small; redo with second round of Stunt Ranch sampling; 0.32202505
44,Santa Rosa,Santa Rosa,Prunus,17,old,39,30,10,0.107,0.089852968,0.691176676,
45,Santa Rosa,Santa Rosa,Prunus,17,young,34.3,30,10,0.189,0.238700309,2.087757801,
46,Santa Cruz,Santa Cruz,Heteromeles,34,old,67.5,30,10,0.067,0.017244509,0.076642262,
47,Santa Cruz,Santa Cruz,Heteromeles,34,young,45.7,30,10,0.087,0.053548738,0.351523447,
48,Gaviota,Gaviota,Prunus,61,old,65.3,30,20,0.302,0.443819205,4.077971255,
49,Gaviota,Gaviota,Prunus,61,young,44.3,30,10,0.388,0.599927392,4.062713712,
50,Santa Cruz,Santa Cruz,Prunus,28,old,65.9,30,10,0.269,0.383917226,1.747726372,
51,Santa Cruz,Santa Cruz,Prunus,28,young,33.2,30,10,0.277,0.398438918,3.60035167,
52,Gaviota,Gaviota,Heteromeles,66,old,50.9,30,10,0.216,0.287711018,1.695742741,
53,Gaviota,Gaviota,Heteromeles,66,young,49.8,30,10,0.144,0.157015792,0.945878267,
54,Catalina,Catalina,Prunus,55,old,38.4,30,10,0.241,0.333091305,2.602275821,
55,Catalina,Catalina,Prunus,55,young,49,30,10,0.473,0.754220367,4.617675714,
56,Catalina,Catalina,Heteromeles,50,old,65.3,30,10,0.14,0.149754946,0.688001285,
57,Catalina,Catalina,Heteromeles,50,young,61.8,30,10,0.362,0.552731893,2.68316453,
58,Santa Cruz,Santa Cruz,Prunus,33,old,28.2,30,10,0.236,0.324015248,3.446970721,
59,Santa Cruz,Santa Cruz,Heteromeles,25,old,77.9,30,10,0.112,0.098929025,0.380984693,
60,Santa Cruz,Santa Cruz,Heteromeles,25,young,58.5,30,10,0.115,0.10437466,0.535254665,
61,Santa Monicas,Santa Monicas,Heteromeles,37,old,51.1,30,10,0.198,0.255037212,1.497283044,
62,Santa Monicas,Santa Monicas,Heteromeles,37,young,60.4,30,10,0.213,0.282265384,1.401980384,
63,Santa Monicas,Santa Monicas,Prunus,41,old,56.7,30,20,0.191,0.242330732,2.564346365,
64,Santa Monicas,Santa Monicas,Prunus,41,young,42.6,30,20,0.166,0.196950445,2.773949926,
65,Gaviota,Gaviota,Heteromeles,61,old,55.5,30,10,0.141,0.151570158,0.819298151,
66,Gaviota,Gaviota,Heteromeles,61,young,50.5,30,10,0.132,0.135233255,0.803365869,
67,Gaviota,Gaviota,Heteromeles,59,old,75.1,30,10,0.231,0.31493919,1.258079323,
68,Gaviota,Gaviota,Heteromeles,59,young,43.1,30,10,0.127,0.126157197,0.878124343,
69,Santa Rosa,Santa Rosa,Heteromeles,13,old,88.1,30,10,0.072,0.026320566,0.089627354,
70,Santa Rosa,Santa Rosa,Heteromeles,13,young,44.3,30,10,0.082,0.044472681,0.301169398,
71,Santa Rosa,Santa Rosa,Prunus,19,old,32.6,30,10,0.162,0.189689599,1.745609805,
72,Santa Rosa,Santa Rosa,Prunus,19,young,46.6,30,10,0.261,0.369395535,2.378082841,
73,Catalina,Catalina,Prunus,58,old,38,30,10,0.191,0.242330732,1.913137354,
74,Catalina,Catalina,Prunus,58,young,48.3,30,10,0.343,0.518242875,3.218899847,
75,Catalina,Catalina,Heteromeles,55,old,62.4,30,10,0.138,0.146124524,0.702521748,
76,Catalina,Catalina,Heteromeles,55,young,58.6,30,10,0.229,0.311308767,1.593730891,
77,Stunt Ranch,Stunt Ranch,Heteromeles,1,old,64.4,30,10,0.19,0.24051552,1.120413913,
78,Stunt Ranch,Stunt Ranch,Heteromeles,1,young,37.1,30,10,0.21,0.27681975,2.238434632,
79,Stunt Ranch,Stunt Ranch,Prunus,3,old,53.5,30,20,0.162,0.189689599,2.127359987,
80,Stunt Ranch,Stunt Ranch,Prunus,3,young,49.5,30,20,0.213,0.282265384,3.421398593,
81,Stunt Ranch,Stunt Ranch,Prunus,5,young,56.1,30,20,0.154,0.175167907,1.873453551,
82,Stunt Ranch,Stunt Ranch,Prunus,5,young,23.6,30,10,0.269,0.383917226,4.880303725,
83,Santa Rosa,Santa Rosa,Prunus,12,old,39.2,30,10,0.103,0.082592122,0.632082566,
84,Santa Rosa,Santa Rosa,Prunus,12,young,42.6,30,10,0.101,0.078961699,0.556068303,
85,Santa Rosa,Santa Rosa,Heteromeles,17,old,52,30,10,0.2,0.258667635,1.492313278,
86,Santa Rosa,Santa Rosa,Heteromeles,17,young,30.6,30,10,0.189,0.238700309,2.340199104,
87,Santa Rosa,Santa Rosa,Prunus,18,old,35.3,30,10,0.073,0.028135778,0.239114259,
88,Santa Rosa,Santa Rosa,Prunus,18,young,40.7,30,10,0.106,0.088037756,0.648926951,
89,Santa Rosa,Santa Rosa,Prunus,12,old,35.1,30,10,0.082,0.044472681,0.380108385,
90,Santa Rosa,Santa Rosa,Prunus,14,old,34.3,30,10,0.108,0.091668179,0.801762502,
91,Santa Rosa,Santa Rosa,Prunus,14,young,34.3,30,10,0.122,0.11708114,1.024033294,
92,Gaviota,Gaviota,Prunus,67,old,43.8,30,10,0.297,0.434743148,2.977692792,
